
---------- Begin Simulation Statistics ----------
simSeconds                                   0.063845                       # Number of seconds simulated (Second)
simTicks                                  63845471235                       # Number of ticks simulated (Tick)
finalTick                                 63845471235                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    799.40                       # Real time elapsed on the host (Second)
hostTickRate                                 79866568                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     775224                       # Number of bytes of host memory used (Byte)
simInsts                                    430328306                       # Number of instructions simulated (Count)
simOps                                      430330093                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   538313                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     538315                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       172479170                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.700752                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.427037                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      261751544                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    8981                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     255776086                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                152642                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            15625345                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         11036014                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               4695                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          172249950                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.484912                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.836370                       # Number of insts issued each cycle (Count)
system.cpu1.power_state.ticksClkGated::total            2                       # Distribution of time spent in the clock gated state (Tick)
system.cpu1.power_state.pwrStateResidencyTicks::ON  63760675881                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu1.power_state.pwrStateResidencyTicks::CLK_GATED     84795354                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu1.rename.squashCycles                 96952                       # Number of cycles rename is squashing (Cycle)
system.cpu1.rename.idleCycles                13648255                       # Number of cycles rename is idle (Cycle)
system.cpu1.rename.blockCycles               23906771                       # Number of cycles rename is blocking (Cycle)
system.cpu1.rename.serializeStallCycles        118963                       # count of cycles rename stalled for serializing inst (Cycle)
system.cpu1.rename.runCycles                 17731277                       # Number of cycles rename is running (Cycle)
system.cpu1.rename.unblockCycles             51960109                       # Number of cycles rename is unblocking (Cycle)
system.cpu1.rename.renamedInsts             185491759                       # Number of instructions processed by rename (Count)
system.cpu1.rename.ROBFullEvents                47856                       # Number of times rename has blocked due to ROB full (Count)
system.cpu1.rename.IQFullEvents              27769464                       # Number of times rename has blocked due to IQ full (Count)
system.cpu1.rename.LQFullEvents              27803196                       # Number of times rename has blocked due to LQ full (Count)
system.cpu1.rename.SQFullEvents                883096                       # Number of times rename has blocked due to SQ full (Count)
system.cpu1.rename.renamedOperands          165639516                       # Number of destination operands rename has renamed (Count)
system.cpu1.rename.lookups                  299190013                       # Number of register rename lookups that rename has made (Count)
system.cpu1.rename.intLookups               109271631                       # Number of integer rename lookups (Count)
system.cpu1.rename.fpLookups                189890268                       # Number of floating rename lookups (Count)
system.cpu1.rename.committedMaps            164525831                       # Number of HB maps that are committed (Count)
system.cpu1.rename.undoneMaps                 1113685                       # Number of HB maps that are undone due to squashing (Count)
system.cpu1.rename.serializing                   1848                       # count of serializing insts renamed (Count)
system.cpu1.rename.tempSerializing               1854                       # count of temporary serializing insts renamed (Count)
system.cpu1.rename.skidInsts                 91938199                       # count of insts added to the skid buffer (Count)
system.cpu1.rob.reads                       287569075                       # The number of ROB reads (Count)
system.cpu1.rob.writes                      370276125                       # The number of ROB writes (Count)
system.cpu1.thread_0.numInsts               184194070                       # Number of Instructions committed (Count)
system.cpu1.thread_0.numOps                 184194914                       # Number of Ops committed (Count)
system.cpu1.thread_0.numMemRefs                     0                       # Number of Memory References (Count)
system.cpu1.toL2Bus.transDist::ReadResp       1283177                       # Transaction distribution (Count)
system.cpu1.toL2Bus.transDist::WritebackDirty      1338443                       # Transaction distribution (Count)
system.cpu1.toL2Bus.transDist::WritebackClean           20                       # Transaction distribution (Count)
system.cpu1.toL2Bus.transDist::CleanEvict        73265                       # Transaction distribution (Count)
system.cpu1.toL2Bus.transDist::UpgradeReq         3101                       # Transaction distribution (Count)
system.cpu1.toL2Bus.transDist::SCUpgradeReq          199                       # Transaction distribution (Count)
system.cpu1.toL2Bus.transDist::UpgradeResp         3091                       # Transaction distribution (Count)
system.cpu1.toL2Bus.transDist::SCUpgradeFailReq            2                       # Transaction distribution (Count)
system.cpu1.toL2Bus.transDist::UpgradeFailResp            2                       # Transaction distribution (Count)
system.cpu1.toL2Bus.transDist::ReadExReq        43751                       # Transaction distribution (Count)
system.cpu1.toL2Bus.transDist::ReadExResp        43748                       # Transaction distribution (Count)
system.cpu1.toL2Bus.transDist::ReadCleanReq          457                       # Transaction distribution (Count)
system.cpu1.toL2Bus.transDist::ReadSharedReq      1289677                       # Transaction distribution (Count)
system.cpu1.toL2Bus.transDist::InvalidateReq         1918                       # Transaction distribution (Count)
system.cpu1.toL2Bus.transDist::InvalidateResp         1918                       # Transaction distribution (Count)
system.cpu1.toL2Bus.pktCount_system.cpu1.icache.mem_side_port::system.cpu1.l2cache.cpu_side_port          934                       # Packet count per connected requestor and responder (Count)
system.cpu1.toL2Bus.pktCount_system.cpu1.dcache.mem_side_port::system.cpu1.l2cache.cpu_side_port      3984237                       # Packet count per connected requestor and responder (Count)
system.cpu1.toL2Bus.pktCount::total           3985171                       # Packet count per connected requestor and responder (Count)
system.cpu1.toL2Bus.pktSize_system.cpu1.icache.mem_side_port::system.cpu1.l2cache.cpu_side_port        30528                       # Cumulative packet size per connected requestor and responder (Byte)
system.cpu1.toL2Bus.pktSize_system.cpu1.dcache.mem_side_port::system.cpu1.l2cache.cpu_side_port    166912384                       # Cumulative packet size per connected requestor and responder (Byte)
system.cpu1.toL2Bus.pktSize::total          166942912                       # Cumulative packet size per connected requestor and responder (Byte)
system.cpu1.toL2Bus.snoops                     100606                       # Total snoops (Count)
system.cpu1.toL2Bus.snoopTraffic              3824448                       # Total snoop traffic (Byte)
system.cpu1.toL2Bus.snoopFanout::samples      1426526                       # Request fanout histogram (Count)
system.cpu1.toL2Bus.snoopFanout::mean        0.002726                       # Request fanout histogram (Count)
system.cpu1.toL2Bus.snoopFanout::stdev       0.052135                       # Request fanout histogram (Count)
system.cpu1.toL2Bus.snoopFanout::underflows            0      0.00%      0.00% # Request fanout histogram (Count)
system.cpu1.toL2Bus.snoopFanout::0            1422638     99.73%     99.73% # Request fanout histogram (Count)
system.cpu1.toL2Bus.snoopFanout::1               3888      0.27%    100.00% # Request fanout histogram (Count)
system.cpu1.toL2Bus.snoopFanout::2                  0      0.00%    100.00% # Request fanout histogram (Count)
system.cpu1.toL2Bus.snoopFanout::3                  0      0.00%    100.00% # Request fanout histogram (Count)
system.cpu1.toL2Bus.snoopFanout::4                  0      0.00%    100.00% # Request fanout histogram (Count)
system.cpu1.toL2Bus.snoopFanout::overflows            0      0.00%    100.00% # Request fanout histogram (Count)
system.cpu1.toL2Bus.snoopFanout::min_value            0                       # Request fanout histogram (Count)
system.cpu1.toL2Bus.snoopFanout::max_value            1                       # Request fanout histogram (Count)
system.cpu1.toL2Bus.snoopFanout::total        1426526                       # Request fanout histogram (Count)
system.cpu1.toL2Bus.power_state.pwrStateResidencyTicks::UNDEFINED  63845471235                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu1.toL2Bus.reqLayer0.occupancy    1862235879                       # Layer occupancy (ticks) (Tick)
system.cpu1.toL2Bus.reqLayer0.utilization          0.0                       # Layer utilization (Ratio)
system.cpu1.toL2Bus.respLayer0.occupancy       490515                       # Layer occupancy (ticks) (Tick)
system.cpu1.toL2Bus.respLayer0.utilization          0.0                       # Layer utilization (Ratio)
system.cpu1.toL2Bus.respLayer1.occupancy   1419328827                       # Layer occupancy (ticks) (Tick)
system.cpu1.toL2Bus.respLayer1.utilization          0.0                       # Layer utilization (Ratio)
system.cpu1.toL2Bus.snoopLayer0.occupancy      3109112                       # Layer occupancy (ticks) (Tick)
system.cpu1.toL2Bus.snoopLayer0.utilization          0.0                       # Layer utilization (Ratio)
system.cpu1.toL2Bus.snoop_filter.totRequests      2653235                       # Total number of requests made to the snoop filter. (Count)
system.cpu1.toL2Bus.snoop_filter.hitSingleRequests      1327243                       # Number of requests hitting in the snoop filter with a single holder of the requested data. (Count)
system.cpu1.toL2Bus.snoop_filter.hitMultiRequests            5                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.cpu1.toL2Bus.snoop_filter.totSnoops         3883                       # Total number of snoops made to the snoop filter. (Count)
system.cpu1.toL2Bus.snoop_filter.hitSingleSnoops         3883                       # Number of snoops hitting in the snoop filter with a single holder of the requested data. (Count)
system.cpu1.toL2Bus.snoop_filter.hitMultiSnoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.cpu_clk_domain.clock                       357                       # Clock period in ticks (Tick)
system.cpu_voltage_domain.voltage                   1                       # Voltage in Volts (Volt)
system.l3.demandHits::cpu0.inst                    26                       # number of demand (read+write) hits (Count)
system.l3.demandHits::cpu0.data                 54550                       # number of demand (read+write) hits (Count)
system.l3.demandHits::cpu1.inst                   223                       # number of demand (read+write) hits (Count)
system.l3.demandHits::cpu1.data                 12557                       # number of demand (read+write) hits (Count)
system.l3.demandHits::total                     67356                       # number of demand (read+write) hits (Count)
system.l3.overallHits::cpu0.inst                   26                       # number of overall hits (Count)
system.l3.overallHits::cpu0.data                54550                       # number of overall hits (Count)
system.l3.overallHits::cpu1.inst                  223                       # number of overall hits (Count)
system.l3.overallHits::cpu1.data                12557                       # number of overall hits (Count)
system.l3.overallHits::total                    67356                       # number of overall hits (Count)
system.l3.demandMisses::cpu0.inst                1757                       # number of demand (read+write) misses (Count)
system.l3.demandMisses::cpu0.data              365893                       # number of demand (read+write) misses (Count)
system.l3.demandMisses::cpu1.inst                 231                       # number of demand (read+write) misses (Count)
system.l3.demandMisses::cpu1.data               69658                       # number of demand (read+write) misses (Count)
system.l3.demandMisses::total                  437539                       # number of demand (read+write) misses (Count)
system.l3.overallMisses::cpu0.inst               1757                       # number of overall misses (Count)
system.l3.overallMisses::cpu0.data             365893                       # number of overall misses (Count)
system.l3.overallMisses::cpu1.inst                231                       # number of overall misses (Count)
system.l3.overallMisses::cpu1.data              69658                       # number of overall misses (Count)
system.l3.overallMisses::total                 437539                       # number of overall misses (Count)
system.l3.demandMissLatency::cpu0.inst      136372929                       # number of demand (read+write) miss ticks (Tick)
system.l3.demandMissLatency::cpu0.data    29276838864                       # number of demand (read+write) miss ticks (Tick)
system.l3.demandMissLatency::cpu1.inst       21872676                       # number of demand (read+write) miss ticks (Tick)
system.l3.demandMissLatency::cpu1.data     5758299687                       # number of demand (read+write) miss ticks (Tick)
system.l3.demandMissLatency::total        35193384156                       # number of demand (read+write) miss ticks (Tick)
system.l3.overallMissLatency::cpu0.inst     136372929                       # number of overall miss ticks (Tick)
system.l3.overallMissLatency::cpu0.data   29276838864                       # number of overall miss ticks (Tick)
system.l3.overallMissLatency::cpu1.inst      21872676                       # number of overall miss ticks (Tick)
system.l3.overallMissLatency::cpu1.data    5758299687                       # number of overall miss ticks (Tick)
system.l3.overallMissLatency::total       35193384156                       # number of overall miss ticks (Tick)
system.l3.demandAccesses::cpu0.inst              1783                       # number of demand (read+write) accesses (Count)
system.l3.demandAccesses::cpu0.data            420443                       # number of demand (read+write) accesses (Count)
system.l3.demandAccesses::cpu1.inst               454                       # number of demand (read+write) accesses (Count)
system.l3.demandAccesses::cpu1.data             82215                       # number of demand (read+write) accesses (Count)
system.l3.demandAccesses::total                504895                       # number of demand (read+write) accesses (Count)
system.l3.overallAccesses::cpu0.inst             1783                       # number of overall (read+write) accesses (Count)
system.l3.overallAccesses::cpu0.data           420443                       # number of overall (read+write) accesses (Count)
system.l3.overallAccesses::cpu1.inst              454                       # number of overall (read+write) accesses (Count)
system.l3.overallAccesses::cpu1.data            82215                       # number of overall (read+write) accesses (Count)
system.l3.overallAccesses::total               504895                       # number of overall (read+write) accesses (Count)
system.l3.demandMissRate::cpu0.inst          0.985418                       # miss rate for demand accesses (Ratio)
system.l3.demandMissRate::cpu0.data          0.870256                       # miss rate for demand accesses (Ratio)
system.l3.demandMissRate::cpu1.inst          0.508811                       # miss rate for demand accesses (Ratio)
system.l3.demandMissRate::cpu1.data          0.847266                       # miss rate for demand accesses (Ratio)
system.l3.demandMissRate::total              0.866594                       # miss rate for demand accesses (Ratio)
system.l3.overallMissRate::cpu0.inst         0.985418                       # miss rate for overall accesses (Ratio)
system.l3.overallMissRate::cpu0.data         0.870256                       # miss rate for overall accesses (Ratio)
system.l3.overallMissRate::cpu1.inst         0.508811                       # miss rate for overall accesses (Ratio)
system.l3.overallMissRate::cpu1.data         0.847266                       # miss rate for overall accesses (Ratio)
system.l3.overallMissRate::total             0.866594                       # miss rate for overall accesses (Ratio)
system.l3.demandAvgMissLatency::cpu0.inst 77616.920319                       # average overall miss latency in ticks ((Tick/Count))
system.l3.demandAvgMissLatency::cpu0.data 80014.755308                       # average overall miss latency in ticks ((Tick/Count))
system.l3.demandAvgMissLatency::cpu1.inst 94686.909091                       # average overall miss latency in ticks ((Tick/Count))
system.l3.demandAvgMissLatency::cpu1.data 82665.303153                       # average overall miss latency in ticks ((Tick/Count))
system.l3.demandAvgMissLatency::total    80434.850736                       # average overall miss latency in ticks ((Tick/Count))
system.l3.overallAvgMissLatency::cpu0.inst 77616.920319                       # average overall miss latency ((Tick/Count))
system.l3.overallAvgMissLatency::cpu0.data 80014.755308                       # average overall miss latency ((Tick/Count))
system.l3.overallAvgMissLatency::cpu1.inst 94686.909091                       # average overall miss latency ((Tick/Count))
system.l3.overallAvgMissLatency::cpu1.data 82665.303153                       # average overall miss latency ((Tick/Count))
system.l3.overallAvgMissLatency::total   80434.850736                       # average overall miss latency ((Tick/Count))
system.l3.blockedCycles::no_mshrs                   0                       # number of cycles access was blocked (Cycle)
system.l3.blockedCycles::no_targets                 0                       # number of cycles access was blocked (Cycle)
system.l3.blockedCauses::no_mshrs                   0                       # number of times access was blocked (Count)
system.l3.blockedCauses::no_targets                 0                       # number of times access was blocked (Count)
system.l3.avgBlocked::no_mshrs                    nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l3.avgBlocked::no_targets                  nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l3.writebacks::writebacks               246345                       # number of writebacks (Count)
system.l3.writebacks::total                    246345                       # number of writebacks (Count)
system.l3.demandMshrHits::cpu0.data                 1                       # number of demand (read+write) MSHR hits (Count)
system.l3.demandMshrHits::cpu1.inst                 1                       # number of demand (read+write) MSHR hits (Count)
system.l3.demandMshrHits::cpu1.data                 1                       # number of demand (read+write) MSHR hits (Count)
system.l3.demandMshrHits::total                     3                       # number of demand (read+write) MSHR hits (Count)
system.l3.overallMshrHits::cpu0.data                1                       # number of overall MSHR hits (Count)
system.l3.overallMshrHits::cpu1.inst                1                       # number of overall MSHR hits (Count)
system.l3.overallMshrHits::cpu1.data                1                       # number of overall MSHR hits (Count)
system.l3.overallMshrHits::total                    3                       # number of overall MSHR hits (Count)
system.l3.demandMshrMisses::cpu0.inst            1757                       # number of demand (read+write) MSHR misses (Count)
system.l3.demandMshrMisses::cpu0.data          365892                       # number of demand (read+write) MSHR misses (Count)
system.l3.demandMshrMisses::cpu1.inst             230                       # number of demand (read+write) MSHR misses (Count)
system.l3.demandMshrMisses::cpu1.data           69657                       # number of demand (read+write) MSHR misses (Count)
system.l3.demandMshrMisses::total              437536                       # number of demand (read+write) MSHR misses (Count)
system.l3.overallMshrMisses::cpu0.inst           1757                       # number of overall MSHR misses (Count)
system.l3.overallMshrMisses::cpu0.data         365892                       # number of overall MSHR misses (Count)
system.l3.overallMshrMisses::cpu1.inst            230                       # number of overall MSHR misses (Count)
system.l3.overallMshrMisses::cpu1.data          69657                       # number of overall MSHR misses (Count)
system.l3.overallMshrMisses::total             437536                       # number of overall MSHR misses (Count)
system.l3.demandMshrMissLatency::cpu0.inst    123528993                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l3.demandMshrMissLatency::cpu0.data  26602471130                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l3.demandMshrMissLatency::cpu1.inst     20159732                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l3.demandMshrMissLatency::cpu1.data   5248818552                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l3.demandMshrMissLatency::total    31994978407                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l3.overallMshrMissLatency::cpu0.inst    123528993                       # number of overall MSHR miss ticks (Tick)
system.l3.overallMshrMissLatency::cpu0.data  26602471130                       # number of overall MSHR miss ticks (Tick)
system.l3.overallMshrMissLatency::cpu1.inst     20159732                       # number of overall MSHR miss ticks (Tick)
system.l3.overallMshrMissLatency::cpu1.data   5248818552                       # number of overall MSHR miss ticks (Tick)
system.l3.overallMshrMissLatency::total   31994978407                       # number of overall MSHR miss ticks (Tick)
system.l3.demandMshrMissRate::cpu0.inst      0.985418                       # mshr miss ratio for demand accesses (Ratio)
system.l3.demandMshrMissRate::cpu0.data      0.870254                       # mshr miss ratio for demand accesses (Ratio)
system.l3.demandMshrMissRate::cpu1.inst      0.506608                       # mshr miss ratio for demand accesses (Ratio)
system.l3.demandMshrMissRate::cpu1.data      0.847254                       # mshr miss ratio for demand accesses (Ratio)
system.l3.demandMshrMissRate::total          0.866588                       # mshr miss ratio for demand accesses (Ratio)
system.l3.overallMshrMissRate::cpu0.inst     0.985418                       # mshr miss ratio for overall accesses (Ratio)
system.l3.overallMshrMissRate::cpu0.data     0.870254                       # mshr miss ratio for overall accesses (Ratio)
system.l3.overallMshrMissRate::cpu1.inst     0.506608                       # mshr miss ratio for overall accesses (Ratio)
system.l3.overallMshrMissRate::cpu1.data     0.847254                       # mshr miss ratio for overall accesses (Ratio)
system.l3.overallMshrMissRate::total         0.866588                       # mshr miss ratio for overall accesses (Ratio)
system.l3.demandAvgMshrMissLatency::cpu0.inst 70306.768924                       # average overall mshr miss latency ((Tick/Count))
system.l3.demandAvgMshrMissLatency::cpu0.data 72705.801521                       # average overall mshr miss latency ((Tick/Count))
system.l3.demandAvgMshrMissLatency::cpu1.inst 87651.008696                       # average overall mshr miss latency ((Tick/Count))
system.l3.demandAvgMshrMissLatency::cpu1.data 75352.348680                       # average overall mshr miss latency ((Tick/Count))
system.l3.demandAvgMshrMissLatency::total 73125.362043                       # average overall mshr miss latency ((Tick/Count))
system.l3.overallAvgMshrMissLatency::cpu0.inst 70306.768924                       # average overall mshr miss latency ((Tick/Count))
system.l3.overallAvgMshrMissLatency::cpu0.data 72705.801521                       # average overall mshr miss latency ((Tick/Count))
system.l3.overallAvgMshrMissLatency::cpu1.inst 87651.008696                       # average overall mshr miss latency ((Tick/Count))
system.l3.overallAvgMshrMissLatency::cpu1.data 75352.348680                       # average overall mshr miss latency ((Tick/Count))
system.l3.overallAvgMshrMissLatency::total 73125.362043                       # average overall mshr miss latency ((Tick/Count))
system.l3.replacements                         392684                       # number of replacements (Count)
system.l3.CleanEvict.mshrMisses::writebacks         4975                       # number of CleanEvict MSHR misses (Count)
system.l3.CleanEvict.mshrMisses::total           4975                       # number of CleanEvict MSHR misses (Count)
system.l3.CleanEvict.mshrMissRate::writebacks          inf                       # mshr miss rate for CleanEvict accesses (Ratio)
system.l3.CleanEvict.mshrMissRate::total          inf                       # mshr miss rate for CleanEvict accesses (Ratio)
system.l3.InvalidateReq.hits::cpu0.data           161                       # number of InvalidateReq hits (Count)
system.l3.InvalidateReq.hits::cpu1.data            89                       # number of InvalidateReq hits (Count)
system.l3.InvalidateReq.hits::total               250                       # number of InvalidateReq hits (Count)
system.l3.InvalidateReq.misses::cpu0.data         8753                       # number of InvalidateReq misses (Count)
system.l3.InvalidateReq.misses::cpu1.data         1827                       # number of InvalidateReq misses (Count)
system.l3.InvalidateReq.misses::total           10580                       # number of InvalidateReq misses (Count)
system.l3.InvalidateReq.accesses::cpu0.data         8914                       # number of InvalidateReq accesses(hits+misses) (Count)
system.l3.InvalidateReq.accesses::cpu1.data         1916                       # number of InvalidateReq accesses(hits+misses) (Count)
system.l3.InvalidateReq.accesses::total         10830                       # number of InvalidateReq accesses(hits+misses) (Count)
system.l3.InvalidateReq.missRate::cpu0.data     0.981939                       # miss rate for InvalidateReq accesses (Ratio)
system.l3.InvalidateReq.missRate::cpu1.data     0.953549                       # miss rate for InvalidateReq accesses (Ratio)
system.l3.InvalidateReq.missRate::total      0.976916                       # miss rate for InvalidateReq accesses (Ratio)
system.l3.InvalidateReq.mshrMisses::cpu0.data         8753                       # number of InvalidateReq MSHR misses (Count)
system.l3.InvalidateReq.mshrMisses::cpu1.data         1827                       # number of InvalidateReq MSHR misses (Count)
system.l3.InvalidateReq.mshrMisses::total        10580                       # number of InvalidateReq MSHR misses (Count)
system.l3.InvalidateReq.mshrMissLatency::cpu0.data    143334029                       # number of InvalidateReq MSHR miss ticks (Tick)
system.l3.InvalidateReq.mshrMissLatency::cpu1.data     30035571                       # number of InvalidateReq MSHR miss ticks (Tick)
system.l3.InvalidateReq.mshrMissLatency::total    173369600                       # number of InvalidateReq MSHR miss ticks (Tick)
system.l3.InvalidateReq.mshrMissRate::cpu0.data     0.981939                       # mshr miss rate for InvalidateReq accesses (Ratio)
system.l3.InvalidateReq.mshrMissRate::cpu1.data     0.953549                       # mshr miss rate for InvalidateReq accesses (Ratio)
system.l3.InvalidateReq.mshrMissRate::total     0.976916                       # mshr miss rate for InvalidateReq accesses (Ratio)
system.l3.InvalidateReq.avgMshrMissLatency::cpu0.data 16375.417457                       # average InvalidateReq mshr miss latency ((Tick/Count))
system.l3.InvalidateReq.avgMshrMissLatency::cpu1.data 16439.830870                       # average InvalidateReq mshr miss latency ((Tick/Count))
system.l3.InvalidateReq.avgMshrMissLatency::total 16386.540643                       # average InvalidateReq mshr miss latency ((Tick/Count))
system.l3.ReadExReq.hits::cpu0.data              7024                       # number of ReadExReq hits (Count)
system.l3.ReadExReq.hits::cpu1.data              2845                       # number of ReadExReq hits (Count)
system.l3.ReadExReq.hits::total                  9869                       # number of ReadExReq hits (Count)
system.l3.ReadExReq.misses::cpu0.data          229661                       # number of ReadExReq misses (Count)
system.l3.ReadExReq.misses::cpu1.data           22821                       # number of ReadExReq misses (Count)
system.l3.ReadExReq.misses::total              252482                       # number of ReadExReq misses (Count)
system.l3.ReadExReq.missLatency::cpu0.data  18496841517                       # number of ReadExReq miss ticks (Tick)
system.l3.ReadExReq.missLatency::cpu1.data   2197274310                       # number of ReadExReq miss ticks (Tick)
system.l3.ReadExReq.missLatency::total    20694115827                       # number of ReadExReq miss ticks (Tick)
system.l3.ReadExReq.accesses::cpu0.data        236685                       # number of ReadExReq accesses(hits+misses) (Count)
system.l3.ReadExReq.accesses::cpu1.data         25666                       # number of ReadExReq accesses(hits+misses) (Count)
system.l3.ReadExReq.accesses::total            262351                       # number of ReadExReq accesses(hits+misses) (Count)
system.l3.ReadExReq.missRate::cpu0.data      0.970323                       # miss rate for ReadExReq accesses (Ratio)
system.l3.ReadExReq.missRate::cpu1.data      0.889153                       # miss rate for ReadExReq accesses (Ratio)
system.l3.ReadExReq.missRate::total          0.962382                       # miss rate for ReadExReq accesses (Ratio)
system.l3.ReadExReq.avgMissLatency::cpu0.data 80539.758675                       # average ReadExReq miss latency ((Tick/Count))
system.l3.ReadExReq.avgMissLatency::cpu1.data 96282.998554                       # average ReadExReq miss latency ((Tick/Count))
system.l3.ReadExReq.avgMissLatency::total 81962.737253                       # average ReadExReq miss latency ((Tick/Count))
system.l3.ReadExReq.mshrMisses::cpu0.data       229661                       # number of ReadExReq MSHR misses (Count)
system.l3.ReadExReq.mshrMisses::cpu1.data        22821                       # number of ReadExReq MSHR misses (Count)
system.l3.ReadExReq.mshrMisses::total          252482                       # number of ReadExReq MSHR misses (Count)
system.l3.ReadExReq.mshrMissLatency::cpu0.data  16817966101                       # number of ReadExReq MSHR miss ticks (Tick)
system.l3.ReadExReq.mshrMissLatency::cpu1.data   2030275714                       # number of ReadExReq MSHR miss ticks (Tick)
system.l3.ReadExReq.mshrMissLatency::total  18848241815                       # number of ReadExReq MSHR miss ticks (Tick)
system.l3.ReadExReq.mshrMissRate::cpu0.data     0.970323                       # mshr miss rate for ReadExReq accesses (Ratio)
system.l3.ReadExReq.mshrMissRate::cpu1.data     0.889153                       # mshr miss rate for ReadExReq accesses (Ratio)
system.l3.ReadExReq.mshrMissRate::total      0.962382                       # mshr miss rate for ReadExReq accesses (Ratio)
system.l3.ReadExReq.avgMshrMissLatency::cpu0.data 73229.525697                       # average ReadExReq mshr miss latency ((Tick/Count))
system.l3.ReadExReq.avgMshrMissLatency::cpu1.data 88965.238771                       # average ReadExReq mshr miss latency ((Tick/Count))
system.l3.ReadExReq.avgMshrMissLatency::total 74651.823952                       # average ReadExReq mshr miss latency ((Tick/Count))
system.l3.ReadSharedReq.hits::cpu0.inst            26                       # number of ReadSharedReq hits (Count)
system.l3.ReadSharedReq.hits::cpu0.data         47526                       # number of ReadSharedReq hits (Count)
system.l3.ReadSharedReq.hits::cpu1.inst           223                       # number of ReadSharedReq hits (Count)
system.l3.ReadSharedReq.hits::cpu1.data          9712                       # number of ReadSharedReq hits (Count)
system.l3.ReadSharedReq.hits::total             57487                       # number of ReadSharedReq hits (Count)
system.l3.ReadSharedReq.misses::cpu0.inst         1757                       # number of ReadSharedReq misses (Count)
system.l3.ReadSharedReq.misses::cpu0.data       136232                       # number of ReadSharedReq misses (Count)
system.l3.ReadSharedReq.misses::cpu1.inst          231                       # number of ReadSharedReq misses (Count)
system.l3.ReadSharedReq.misses::cpu1.data        46837                       # number of ReadSharedReq misses (Count)
system.l3.ReadSharedReq.misses::total          185057                       # number of ReadSharedReq misses (Count)
system.l3.ReadSharedReq.missLatency::cpu0.inst    136372929                       # number of ReadSharedReq miss ticks (Tick)
system.l3.ReadSharedReq.missLatency::cpu0.data  10779997347                       # number of ReadSharedReq miss ticks (Tick)
system.l3.ReadSharedReq.missLatency::cpu1.inst     21872676                       # number of ReadSharedReq miss ticks (Tick)
system.l3.ReadSharedReq.missLatency::cpu1.data   3561025377                       # number of ReadSharedReq miss ticks (Tick)
system.l3.ReadSharedReq.missLatency::total  14499268329                       # number of ReadSharedReq miss ticks (Tick)
system.l3.ReadSharedReq.accesses::cpu0.inst         1783                       # number of ReadSharedReq accesses(hits+misses) (Count)
system.l3.ReadSharedReq.accesses::cpu0.data       183758                       # number of ReadSharedReq accesses(hits+misses) (Count)
system.l3.ReadSharedReq.accesses::cpu1.inst          454                       # number of ReadSharedReq accesses(hits+misses) (Count)
system.l3.ReadSharedReq.accesses::cpu1.data        56549                       # number of ReadSharedReq accesses(hits+misses) (Count)
system.l3.ReadSharedReq.accesses::total        242544                       # number of ReadSharedReq accesses(hits+misses) (Count)
system.l3.ReadSharedReq.missRate::cpu0.inst     0.985418                       # miss rate for ReadSharedReq accesses (Ratio)
